Accession,Release_Date,Species,Length,Nuc_Completeness,Geo_Location,U.S._State,Host,Isolation_Source,Collection_Date
MT873900,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,partial,USA: FL,FL,Homo sapiens,,2020-03-27
MT873901,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29799,partial,USA: CO,CO,Homo sapiens,,2020-03-27
MT873902,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,partial,USA: CO,CO,Homo sapiens,,2020-03-27
MT873903,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,partial,USA: OH,OH,Homo sapiens,,2020-03-22
MT873904,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,partial,USA: OH,OH,Homo sapiens,,2020-03-26
MT873905,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,partial,USA: OH,OH,Homo sapiens,,2020-03-27
MT873906,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29809,partial,USA: OH,OH,Homo sapiens,,2020-04-01
MT873907,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,USA,,Homo sapiens,,2020-04-13
MT873908,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,partial,USA,,Homo sapiens,,2020-04-13
MT873909,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,partial,USA,,Homo sapiens,,2020-04-13
MT873910,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,partial,USA,,Homo sapiens,,2020-04-21
MT873911,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,partial,USA,,Homo sapiens,,2020-04-21
MT873912,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,partial,USA,,Homo sapiens,,2020-04-23
MT873913,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,partial,USA,,Homo sapiens,,2020-04-22
MT873914,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,partial,USA,,Homo sapiens,,2020-04-22
MT873915,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,partial,USA,,Homo sapiens,,2020-04-22
MT873916,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,partial,USA,,Homo sapiens,,2020-04-22
MT873917,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,partial,USA,,Homo sapiens,,2020-04-23
MT873918,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,USA,,Homo sapiens,,2020-04-23
MT873919,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,partial,USA,,Homo sapiens,,2020-04-23
MT873920,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,partial,USA,,Homo sapiens,,2020-04-23
MT873921,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29826,partial,USA,,Homo sapiens,,2020-04-23
MT873922,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,partial,USA,,Homo sapiens,,2020-04-20
MT873923,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,complete,USA,,Homo sapiens,,2020-04-21
MT873924,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,partial,USA,,Homo sapiens,,2020-04-21
MT873925,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,partial,USA,,Homo sapiens,,2020-04-20
MT873926,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,partial,USA,,Homo sapiens,,2020-04-20
MT873927,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,USA,,Homo sapiens,,2020-04-20
MT873928,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,partial,USA,,Homo sapiens,,2020-04-21
MT873929,2020-08-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,partial,USA,,Homo sapiens,,2020-04-20
MT860726,2020-08-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,895,partial,China,,Homo sapiens,,2020-02-16
MT860461,2020-08-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,871,partial,China,,Homo sapiens,oronasopharynx,2020-02-01
MT860462,2020-08-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1387,partial,China,,Homo sapiens,oronasopharynx,2020-02-02
MT860463,2020-08-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,868,partial,China,,Homo sapiens,oronasopharynx,2020-02-02
MT860464,2020-08-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,835,partial,China,,Homo sapiens,oronasopharynx,2020-02-04
MT860465,2020-08-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,781,partial,China,,Homo sapiens,oronasopharynx,2020-03-18
MT860469,2020-08-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,779,partial,China,,Homo sapiens,oronasopharynx,2020-03-18
LC572067,2020-08-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,partial,Japan,,Homo sapiens,,2020-04
LC572068,2020-08-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,partial,Japan,,Homo sapiens,,2020-05
LC572069,2020-08-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,partial,Japan,,Homo sapiens,,2020-05
LC572070,2020-08-08T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,partial,Japan,,Homo sapiens,,2020-05
MT856443,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,867,partial,China,,Homo sapiens,oronasopharynx,2020-01-31
MT856452,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,,2020-07-17
MT856453,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,,2020-07-18
MT856454,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,,2020-07-18
MT856455,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,,2020-07-18
MT856456,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,,2020-05-31
MT856457,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,,2020-05-31
MT856458,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,,2020-05-31
MT856459,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,,2020-06-03
MT856477,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,380,partial,China,,Homo sapiens,,2020-02-16
MT856678,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-21
MT856679,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-04-03
MT856680,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-04-04
MT856681,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,USA: SC,SC,Homo sapiens,,2020-04-04
MT856682,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-04
MT856683,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-04
MT856684,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-04
MT856685,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-07
MT856686,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-08
MT856687,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-13
MT856688,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-14
MT856689,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-05-30
MT856690,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-06-08
MT856691,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,USA: SC,SC,Homo sapiens,,2020-06-19
MT856692,2020-08-07T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,900,partial,China,,Homo sapiens,oronasopharynx,2020-01-31
MT846004,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-06-03
MT846005,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-06-03
MT846006,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-06-03
MT846007,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-06-04
MT846008,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-07-15
MT846009,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-07-15
MT846010,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-07-15
MT846011,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-07-15
MT846012,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-07-15
MT846013,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-07-15
MT846014,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-07-15
MT846015,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Bangladesh,,Homo sapiens,oronasopharynx,2020-07-15
MT846413,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,complete,USA: FL,FL,Homo sapiens,,2020-07-16
MT846414,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,partial,USA: FL,FL,Homo sapiens,,2020-07-16
MT846415,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,complete,USA: FL,FL,Homo sapiens,,2020-07-21
MT846416,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,partial,USA: FL,FL,Homo sapiens,,2020-07-21
MT846417,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,USA: FL,FL,Homo sapiens,,2020-07-21
MT846418,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,complete,USA: FL,FL,Homo sapiens,,2020-07-21
MT846419,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,partial,USA: FL,FL,Homo sapiens,,2020-07-21
MT846420,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: FL,FL,Homo sapiens,,2020-03-13
MT846421,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: FL,FL,Homo sapiens,,2020-03-14
MT846422,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-03-13
MT846423,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,complete,USA: FL,FL,Homo sapiens,,2020-03-14
MT846424,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,partial,USA: FL,FL,Homo sapiens,,2020-03-14
MT846425,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,complete,USA: FL,FL,Homo sapiens,,2020-03-14
MT846426,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-03-14
MT846427,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,partial,USA: FL,FL,Homo sapiens,,2020-03-15
MT846428,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-03-13
MT846429,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,USA: FL,FL,Homo sapiens,,2020-03-13
MT846430,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,complete,USA: FL,FL,Homo sapiens,,2020-03-13
MT846431,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: FL,FL,Homo sapiens,,2020-03-13
MT846432,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,USA: FL,FL,Homo sapiens,,2020-03-13
MT846433,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,complete,USA: FL,FL,Homo sapiens,,2020-03-24
MT846434,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,complete,USA: FL,FL,Homo sapiens,,2020-03-24
MT846435,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA: FL,FL,Homo sapiens,,2020-03-24
MT846436,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,complete,USA: FL,FL,Homo sapiens,,2020-03-24
MT846437,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,partial,USA: FL,FL,Homo sapiens,,2020-03-15
MT846438,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,complete,USA: FL,FL,Homo sapiens,,2020-03-24
MT846439,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,complete,USA: FL,FL,Homo sapiens,,2020-03-24
MT846440,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,USA: FL,FL,Homo sapiens,,2020-03-17
MT846441,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,partial,USA: FL,FL,Homo sapiens,,2020-03-25
MT846442,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,complete,USA: FL,FL,Homo sapiens,,2020-03-25
MT846443,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,complete,USA: FL,FL,Homo sapiens,,2020-03-25
MT846444,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-03-26
MT846445,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: FL,FL,Homo sapiens,,2020-03-20
MT846446,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,complete,USA: FL,FL,Homo sapiens,,2020-03-25
MT846447,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,partial,USA: FL,FL,Homo sapiens,,2020-03-26
MT846448,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,partial,USA: FL,FL,Homo sapiens,,2020-03-26
MT846449,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-03-26
MT846450,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,complete,USA: FL,FL,Homo sapiens,,2020-03-26
MT846451,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,complete,USA: FL,FL,Homo sapiens,,2020-03-26
MT846452,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: FL,FL,Homo sapiens,,2020-03-26
MT846453,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,partial,USA: FL,FL,Homo sapiens,,2020-03-26
MT846454,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,complete,USA: FL,FL,Homo sapiens,,2020-03-23
MT846455,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,complete,USA: FL,FL,Homo sapiens,,2020-03-23
MT846456,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,USA: FL,FL,Homo sapiens,,2020-03-27
MT846457,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: FL,FL,Homo sapiens,,2020-03-27
MT846458,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,USA: FL,FL,Homo sapiens,,2020-03-29
MT846459,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,partial,USA: FL,FL,Homo sapiens,,2020-03-28
MT846460,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,USA: FL,FL,Homo sapiens,,2020
MT846461,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,complete,USA: FL,FL,Homo sapiens,,2020-03-29
MT846462,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA: FL,FL,Homo sapiens,,2020-03-29
MT846463,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,USA: FL,FL,Homo sapiens,,2020-03-27
MT846464,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,complete,USA: FL,FL,Homo sapiens,,2020-03-28
MT846465,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: FL,FL,Homo sapiens,,2020-03-28
MT846466,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,partial,USA: FL,FL,Homo sapiens,,2020-03-27
MT846467,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,complete,USA: FL,FL,Homo sapiens,,2020-03-27
MT846468,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,complete,USA: FL,FL,Homo sapiens,,2020-03-27
MT846469,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29873,complete,USA: FL,FL,Homo sapiens,,2020-03-30
MT846470,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA: FL,FL,Homo sapiens,,2020-03-30
MT846471,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA: FL,FL,Homo sapiens,,2020-03-27
MT846472,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,partial,USA: FL,FL,Homo sapiens,,2020-03-25
MT846473,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,USA: FL,FL,Homo sapiens,,2020-03-31
MT846474,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,partial,USA: FL,FL,Homo sapiens,,2020-03-30
MT846475,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: FL,FL,Homo sapiens,,2020-03-30
MT846476,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,USA: FL,FL,Homo sapiens,,2020-03-31
MT846477,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,complete,USA: FL,FL,Homo sapiens,,2020-03-31
MT846478,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,complete,USA: FL,FL,Homo sapiens,,2020-03-31
MT846479,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,partial,USA: FL,FL,Homo sapiens,,2020-05-26
MT846480,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846481,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29764,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846482,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,partial,USA: FL,FL,Homo sapiens,,2020-07-14
MT846483,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846484,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846485,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846486,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846487,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29749,partial,USA: FL,FL,Homo sapiens,,2020-07-14
MT846488,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-07-13
MT846489,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846490,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846491,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,complete,USA: FL,FL,Homo sapiens,,2020-07-14
MT846492,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,complete,USA: FL,FL,Homo sapiens,,2020-07-16
MT846493,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,partial,USA: FL,FL,Homo sapiens,,2020-07-15
MT846494,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,complete,USA: FL,FL,Homo sapiens,,2020-07-15
MT846495,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29792,partial,USA: FL,FL,Homo sapiens,,2020-07-15
MT846499,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-07-09
MT846500,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,2020-05-19
MT846501,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Racine county",WI,Homo sapiens,oronasopharynx,2020-07-15
MT846502,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-06-19
MT846503,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-06-18
MT846504,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-06-22
MT846505,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-06-24
MT846506,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-06-30
MT846507,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-07-09
MT846508,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-05-26
MT846509,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,2020-05-26
MT846510,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,2020-05-29
MT846511,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,2020-05-29
MT846512,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,2020-05-29
MT846513,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Washington county",WI,Homo sapiens,oronasopharynx,2020-05-30
MT846514,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-06-02
MT846515,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-06-02
MT846516,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,partial,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-06-11
MT846517,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,2020-06-16
MT846518,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-05-13
MT846519,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Washington county",WI,Homo sapiens,oronasopharynx,2020-05-13
MT846520,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-05-12
MT846521,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,2020-05-12
MT846522,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Washington county",WI,Homo sapiens,oronasopharynx,2020-05-14
MT846523,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,complete,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,2020-05-18
MT846524,2020-08-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29611,partial,"USA: Wisconsin, Washington county",WI,Homo sapiens,oronasopharynx,2020-05-20
